Name,Website,Email,Phone,Industries,Goods,"City, Country",Address,Description
L'Oréal,www.loreal.com,,,Household/Personal Care,Cosmetics and beauty products,"Paris,France","41, rue Martre, 92110 Clichy, France","L'Oréal SA engages in the manufacture and sale of beauty and hair products. It operates through the following segments: Professional Products, Consumer Products, L'Oréal Luxury, and Active Cosmetics. The Professional Products segment manufactures products which are used and sold in hair salons. The Consumer Products segment offers beauty and care products for men and women which are sold in mass market retail channels. The L'Oréal Luxury segment markets high-end skin care and beauty products in selective retail outlets such as department stores, perfumeries, and travel retail. The Active Cosmetics segment offers dermocosmetic skincare products which are sold in pharmacies and specialist sections of drugstores. The company was founded by Eugène Schueller in 1909 and is headquartered in Paris, France."
Lotte,www.lotte.co.jp,,," 
food processing
retail
financial services
electronics
petro-chemicals
and more",,"Jung District, Seoul, South Korea",,
Lotte Chemical,www.lottechem.com,,,Specialized Chemicals,,"Seoul,South Korea",,"Lotte Chemical is engaged in the manufacture of petrochemicals. Its products include resin products and basic petrochemicals and chemicals. The resin products provides polyethylene, polypropylene, polycarbonate and functional resin, and polyethylene terephthalate. The basic petrochemicals includes ethylene oxide, mono ethylene, di ethylene and tri ethylene glycol, methyl methacrylate, ethanolamine, butadiene, and samarium. The basic chemicals offers benzene, toluene, and mixed xylene. The company was founded on March 16, 1976 and is headquartered in Seoul, South Korea."
Lotte Shopping,www.lotteshopping.com,,,Department Stores,,"Seoul,South Korea",,"Lotte Shopping Co., engages in the operation of department stores and supermarkets. It operates through the following business divisions: Department Store, Discount Store, Supermarket and Cinema. The Department Store business provides clothing, accessories, appliances, furniture and food through Lotte Department Store. The Discount Store business offers food, household supplies, clothing and sundries through Lotte Mart. The Supermarket business provides general household products and fresh food through Lotte Supermart. The Cinema business offers film investment, distribution and screening through Lotte Cinema. It was founded on July 2, 1970 and is headquartered in Seoul, South Korea."
Louis Delhaize Group,www.louisdelhaize.com,,,Retail,"Hypermarkets, Grocery Stores, Discount Stores, and more","Charleroi, Hainaut, Belgium",,
Louis Dreyfus Company,www.ldcom.com,,,Merchant,"oilseeds, grains, juice, fertilisers, cotton, sugar, rice, coffee, dairy, metals, etc.","Amsterdam, The Netherlands",,
Louis Poulsen,www.louispoulsen.com,,,Design,Luxury lighting,"Copenhagen, Denmark","Gammel Strand 28, DK-1202, Copenhagen, Denmark",
Louis Vuitton,www.lowealpine.com,,,,,,,
LOVE FM,www.lovefm.com,,,,,"Belize City, Belize",,
Lowe Alpine,www.louisvuitton.com,,,Retail,Luxury goods,"Paris, France",,
Löwenbräu,www.loewenbraeu.de,,,,,,,
Lowepro,www.lowepro.com,,,,"Camera bags, backpacks, protective cases and equipment for photography, video and electronic devices","Petaluma, CA, United States",,
Lowe's,www.lowes.com,,,Home Improvement Retail,,"Mooresville, North Carolina,United States",,"Lowe's Cos., is engaged in the retail sale of home improvement products. The company offers products for maintenance, repair, remodeling, home decorating and property maintenance. It also offers home improvement products in the following categories: appliances, bathroom, building supply, electrical, flooring, hardware, paint, kitchen, plumbing, lighting & fans, outdoor living, windows and doors. The company was founded in 1946 and is headquartered in Mooresville, NC."
LS Group,www.lsholdings.com,,,Conglomerate,,"Anyang, South Korea",,
LSI Corporation,www.lsi.com,,,"Semiconductors
Storage
Networking","Server Storage, Flash Storage, Hard Disk Drives, Mobile Networks, Enterprise and Datacenter Networks","San Jose, 
United States",,
Lubrizol,www.lubrizol.com,,,Chemicals,Lubricant additives; Specialty chemicals,"Wickliffe, Ohio, United States",,
Lucas Bols,www.lucasbols.com,,,Drinks,Alcoholic beverages,"Amsterdam, the Netherlands",,
Lucasfilm,www.lucasfilm.com,,,Film,"Motion pictures, television","Letterman Digital Arts Center(Presidio of San Francisco),  United States",,
Luka Ploče,www.luka-ploce.hr,,,Shipping,,"Ploče, Croatia",,
LukOil,www.lukoil.com,,,Oil & Gas Operations,,"Moscow,Russian Federation",,"Oil Co. LUKOIL PJSC engages in the exploration, production, refining, marketing, and distribution of oil. It operates through the following business segments: Exploration and Production; Refining, Marketing and Distribution; Petrochemicals; Energy and Other. The Exploration and Production segment explores, develops and produces crude oil and gas. The Refining, Marketing and Distribution segment includes refining and transport operations; and sale of crude oil, natural gas and refined products. The Petrochemicals segment processes and trades petrochemical products. The Energy segment generates, transports, and sells electricity, heat, and other related services. Other segment includes activities beyond the company's traditional operations. The company was founded on November 25, 1991 and is headquartered in Moscow, Russia."
